,2021-12-31,2021酒业盘点丨轮番涨价背后，白酒市场隐现新一轮战局,新京报
0,2021-12-30,安徽多家B股公司持续关注“B转H”业务 期望能彻底解决B股遗留问题,证券日报网
1,2021-12-30,品牌力提升非一日之功，白酒年底提价多为促销,Wind
2,2021-12-29,白酒还有“跨年行情”吗？20位白酒基金经理 谁更强？,中投网
3,2021-12-29,古井贡酒跌7.3% 七天前华鑫证券刚推荐,中国经济网
4,2021-12-29,酒类股大幅下挫，古井贡酒跌超8%，机构称板块向好趋势不变,证券时报网
5,2021-12-29,快讯：白酒板块持续走低 古井贡酒跌超8%,财联社
6,2021-12-29,快讯：白酒概念午后持续走弱 古井贡酒跌近9%,新浪
7,2021-12-29,解盘：题材股分化，大飞机、盐湖提锂、军工、肺炎检测略涨,Wind
8,2021-12-29,A股午盘综述：白酒板块熄火，贵州茅台、五粮液、泸州老窖大步回撤,Wind
9,2021-12-29,古井贡酒下跌7.07%，现报248.13元,乐居财经
10,2021-12-29,白酒股持续下挫，迎驾贡酒、贵州茅台领跌,Wind
11,2021-12-29,【行情】白酒板块早盘走低，迎驾贡酒跳水跌超7%，古井贡酒、泸州老窖、舍得酒业、老白干酒、五粮液等跌超3%,金十数据
12,2021-12-29,泸州老窖又一品类提价！酒企迎来消费旺季，机构看好白酒板块,Wind
13,2021-12-29,3800亿白酒巨头大动作！又涨价了,Wind
14,2021-12-28,顺鑫农业冲击涨停，白酒板块急速拉升,Wind
15,2021-12-28,白酒涨声不断 谁在“火中取栗”？,佳酿网
16,2021-12-28,东亚前海晨会 | 12月28日,新浪
17,2021-12-27,古井贡酒跌3.78% 华西证券浙商证券高点唱多,中国经济网
18,2021-12-27,【中信证券：白酒板块仍有上行空间】财联社12月27日电，中信证券研究指出，最近2-3周酒企陆续召开经销商大会，今年任务完成&明年增长规划逐渐清晰；同时，行业已逐步进入旺季备货、动销检验阶段。我们认为,财联社
19,2021-12-27,酒企迎来涨价潮，下一个会是谁？,Wind
20,2021-12-26,酒企提价“涨”声不断！白酒股跨年行情稳了？,Wind
21,2021-12-26,古井贡酒：产品控量争品牌占位 扩产支撑双百亿目标,每日经济新闻
22,2021-12-26,大消费专题策划一|白酒消费税之剑高悬 量减价增趋势将延续 香型争霸有戏码,财联社
23,2021-12-26,又有白酒涨价！这次竟然是TA，股价差点儿腰斩,Wind
24,2021-12-25,“宁组合”、“茅指数”再次切换？,Wind
25,2021-12-24,市场“高低位”切换，如何寻找稳健板块,Wind
26,2021-12-24,古越龙山官宣提价，啤酒、白酒涨价后，黄酒也 “蚌埠”住了,金融界
27,2021-12-24,高价位不一定就等于高品牌价值，白酒提价消费者会买单吗？,证券之星
28,2021-12-24,贵州茅台涨超4%，机构：白酒提价扩销形势明朗，回调迎来布局良机,第一财经
