,2021-12-29,金发科技：预计2021年第四季度完成年产3万吨PLA合成线的投产,每日经济新闻
0,2021-12-29,金发科技：公司的生产经营情况正常,每日经济新闻
1,2021-12-29,金发科技：截至2021年三季末，手套项目已完成五个车间40条生产线的投产,每日经济新闻
2,2021-12-29,金发科技：公司目前没有研发玻尿酸口罩,Wind
3,2021-12-29,金发科技：BDO是公司产品的原材料,Wind
4,2021-12-29,金发科技：宁波疫情对于宁波金发的生产未造成影响,Wind
5,2021-12-29,财联社12月29日电，金发科技在互动平台表示，宁波疫情对于宁波金发的生产未造成影响。,财联社
6,2021-12-22,北向资金连续4日净卖出累计出货超百亿，立讯精密遭大幅净卖出6.46亿元,Wind
7,2021-12-22,风光股份：公司产品为高分子材料的添加剂,Wind
8,2021-12-21,粤益投资违规收警示函 为金发科技参股企业旗下私募 金融监管处罚,中国经济网
9,2021-12-10,金发科技：公司最近没有独董辞职或者拟辞职 董监高成员变化,每日经济新闻
10,2021-12-10,金发科技：目前拥有2.5万吨氢气产能 主要用于外销,财联社
11,2021-12-06,化工周报：周期品价格逐步企稳 静待春旺归来,新浪
12,2021-11-30,金发科技现1笔大宗交易 共成交945.34万元,新浪
13,2021-11-30,金发科技今日大宗交易成交69.51万股，成交价13.6元溢价0.22%,Wind
14,2021-11-30,【五星股票池】太强了！入选股今天表现可圈可点！金发科技、联络互动双双涨超6%,新浪
15,2021-11-30,解盘：人气回暖，数字货币、网络安全、军工、大数据领涨,Wind
16,2021-11-29,化工周报：DMC、甘氨酸持续上涨 关注一线龙头及偏下游产品,新浪
17,2021-11-26,碳中和征程上的绿色发动机,凤凰网
18,2021-11-25,【原创】利欧股份投资款被退回 A股公司尴尬事时有发生,搜狐
19,2021-11-20,化工行业策略：新能源变革下的化工新材料大机会,新浪
20,2021-11-19,金发科技加紧布局氢能产业,世纪新能源
21,2021-11-17,氢燃料电池汽车迎政策风口 金发科技已有及在建富氢产能合计约10万吨,电鳗快报
22,2021-11-15,化工行业周报：碳中和背景下 继续看好高景气新能源化工材料,新浪
23,2021-11-15,霍尼韦尔发布《炼化行业低碳发展白皮书》,钢企网
24,2021-11-15,中金：化工产品价格或已筑顶，战略性看好偏下游企业,中金点睛
25,2021-11-15,化工周报：维生素、磷化工价格上涨 周期品整体企稳 关注白马龙头和轮胎、农化产业链,新浪
26,2021-11-14,新材料行业周报：气凝胶-极具潜力的锂电隔热材料,新浪
27,2021-11-12,美股盘前：三大股指期货微涨 百年品牌强生宣布分拆,财联社
28,2021-11-12,金发科技：与霍尼韦尔深化战略合作,e公司
29,2021-11-12,金发科技：“70亿口罩订单说没就没”有新余波,羊城晚报
30,2021-11-11,金发科技：鉴于目前市场上仍然对口罩有需求，公司始终保持着一定的口罩存货,每日经济新闻
31,2021-11-11,金发科技：公司目前暂无养猪计划,每日经济新闻
32,2021-11-11,金发科技：截至目前公司已完成对辽宁宝来新材料有限公司51.09%股权的收购,每日经济新闻
33,2021-11-05,三季度“增收不增利”，金发科技如何破局？ 盈利能力下降,21世纪经济报道
34,2021-11-04,金发科技9.75亿美元重大合同签订期内竟滋生内幕交易，处罚来了！,每日经济新闻
35,2021-11-03,基础化工行业2021年三季报总结：原材料价格持续提升 短期影响21Q3行业盈利能力,新浪
36,2021-11-03,金发科技：截至目前，公司手套项目已完成五个车间40条生产线的投产，各产线运行情况良好，剩余产线处于建设中,每日经济新闻
37,2021-11-03,化工新材料行业周报：海力士三季度业绩创历史新高 雅克科技前驱体有望国产化弯道超车,新浪
38,2021-10-29,预见2022：《2022年中国改性塑料行业全景图谱》(附市场现状、竞争格局和发展趋势等),前瞻研究院
39,2021-10-27,金发科技前三季度收入上涨13% 完全生物降解材料发展可期,每日经济新闻
40,2021-10-27,展览排名重新洗牌 2022苏州国际橡塑展竟是亚洲排名的国际大展,中国贸易新闻网
41,2021-10-27,增收不增利！金发科技前三季净利润下降5成多，股价创阶段新低 盈利能力下降,资本邦
42,2021-10-27,金发科技材料涨价三季净利降89% 研发不降反增投11亿提振两大主业 盈利能力下降,长江商报
43,2021-10-26,金发科技(600143)三季报点评：Q3业绩承压 静待一体化布局开花结果 盈利能力下降,国海证券
44,2021-10-26,又跌停！金发科技三季业绩骤减，中央汇金已退出前十股东 盈利能力下降,贝壳财经
45,2021-10-26,跌停板解密：资金恐慌出逃，两大类个股封跌停！（10月26日）,Wind
46,2021-10-26,金发科技涨停，拉升军团入场抢筹,证券之星
47,2021-10-26,A股异动 | Q3业绩大幅下滑 金发科技(600143.SH)大跌8% 盈利能力下降,格隆汇
48,2021-10-26,金发科技开盘直接跌停，公司前三季度净利润同比减少54.38%,Wind
49,2021-10-25,图解金发科技三季报：第三季度单季净利润同比减89.16% 盈利能力下降,证券之星
50,2021-10-25,金发科技(600143.SH)：第三季度净利降89.16%至1.498亿元 盈利能力下降,格隆汇
51,2021-10-25,金发科技：第三季度净利润1.5亿元 同比减少89.16% 盈利能力下降,财联社
52,2021-10-25,金发科技：前三季度净利润同比减少54.38% 盈利能力下降,Wind
53,2021-10-22,【投资视角】启示2022：中国生物降解塑料行业投融资及兼并重组分析(附投融资事件、产业基金和兼并重组等),证券之星
54,2021-10-21,金发科技：2016年度员工持股计划存续期展期,每日经济新闻
55,2021-10-21,【干货】改性塑料行业产业链全景梳理及区域热力地图,证券之星
56,2021-10-20,TUV莱茵受邀出席2021中国塑料产业“碳”高峰论坛,美通社
57,2021-10-19,迈向绿色低碳循环发展经济体系,凤凰网
58,2021-10-19,金发科技：目前在可降解塑料市场竞争激烈，公司会在结合市场供需关系及上下游市场变化的情况下作出是否调整价格的决策,每日经济新闻
59,2021-10-19,金发科技：公司目前暂无考虑形成可降解塑料一体化产业链,每日经济新闻
60,2021-10-19,百亿新赛道之可降解塑料|国立科技投建1万吨产能，意欲何为？,财华社
61,2021-10-18,塑料行业探路绿色低碳发展，行业龙头金发科技率先发布“碳”战略,21世纪经济报道
62,2021-10-18,金发科技正式发布“碳”战略与行动计划,e公司
63,2021-10-18,化工周报：能源价格上行强化周期品景气 坚定看好泛碳中和板块 关注受益海运费下降的轮胎行业,新浪
64,2021-10-17,【最全】2021年改性塑料产业上市公司全方位对比(附业务布局汇总、业绩对比、业务规划等),证券之星
65,2021-10-15,金发科技：公司不存在“400亿只手套库存销售不畅”的情形,每日经济新闻
66,2021-10-12,金发科技：公司半年报财务数据不存在隐瞒或虚报情形,Wind
67,2021-10-12,金发科技：公司目前的氢气产品主要来自于宁波金发60万吨/年的丙烷脱氢（PDH）装置的副产品,Wind
68,2021-10-12,除了可降解还有塑料回收！科思创、陶氏、巴斯夫、三菱等十余龙头都在布局,润滑油信息网
69,2021-10-11,"金发科技现1笔大宗交易 共成交4,919.70万元",新浪
70,2021-10-11,金发科技今日大宗交易成交345万股，成交价14.26元折价1.52%,Wind
