,2021-12-31,2021年的啤酒板块∶行情欠佳但酒香四溢,智通财经
0,2021-12-31,中信证券：2022年食品饮料行业应遵循四条投资主线,e公司
1,2021-12-30,迪丽热巴现身亲调！350+岁超高端啤酒走在潮流前端,21商评网
2,2021-12-30,重庆啤酒(600132.SH)证券事务代表张潇巍辞职,智通财经
3,2021-12-30,重庆啤酒：张潇巍辞去证券事务代表及投资者关系副总监职务 董监高成员变化,Wind
4,2021-12-29,[公司]“虎”福临门 新年启顺：“嘉士伯 启顺年”精彩延续 重庆啤酒前景可期,全景网
5,2021-12-29,重庆啤酒孙公司7亿元资金被占用 子公司起诉被驳回 诉讼纠纷,产业经济新闻网
6,2021-12-28,大众品需求有望改善，业绩弹性可期,证券之星
7,2021-12-24,最大权益基金放宽限购，叠加白酒消费旺季，行情可期？,Wind
8,2021-12-24,白酒基金限购松紧不一，基金经理看好配置价值,Wind
9,2021-12-22,南财研选丨啤酒“涨声不断”里说丰年，听取消费升级是否可见？,21世纪经济报道
10,2021-12-21,西南证券：啤酒寡头格局确立，步入高端化快车道,智通财经
11,2021-12-20,周谈｜Weekly Talk：延续稳定性推荐主线，优选龙头及高景气赛道,食品饮料光头阳线
12,2021-12-18,公司风向标丨2021世界品牌500强，嘉士伯排名啤酒行业第一,上游新闻
13,2021-12-18,重仓消费板块拖累业绩 长信基金掉队 盈利能力下降,中国经营报
14,2021-12-17,信息流丨践行和推动零事故文化，重庆啤酒举行安全日活动,上游新闻
15,2021-12-15,“关灯吃面”十年后，徐翔重回A股，重庆啤酒过得也不错,金融界
16,2021-12-15,连收九个跌停，“关灯吃面”出圈十年后，重庆啤酒股价“飞天”,AI财经社
17,2021-12-15,重庆啤酒复活记,36氪
18,2021-12-14,【中泰食品|专题】价格持续修复，板块整体向好——食品饮料行业2021年10月线下商超数据点评,食品饮料俱乐部
19,2021-12-14,重庆啤酒：公司用的是ERP系统进行供应商的管理,Wind
20,2021-12-13,周谈｜Weekly Talk：确定性维度筛选标的，逻辑逐步兑现,食品饮料光头阳线
21,2021-12-09,A股收盘综述：深证成指时隔4个月重回15000点；北向资金罕见买买买！,Wind
22,2021-12-09,A股午盘综述：沪指大涨剑指3700点，深成指收复15000点；北向资金跑步入场！,Wind
23,2021-12-09,平安证券：白酒行业有望复制2019年行情,财联社
24,2021-12-08,行业深度分析报告：受益于提价 22 年啤酒龙头业绩有望加速增长,广发证券
25,2021-12-08,重庆啤酒(600132)：组织优化提升效能 产能扩张布局长远,西南证券
26,2021-12-07,啤酒涨价，我们还有啤酒自由吗？,36氪
