,2021-12-31,晶盛机电：公司正加快推进第三代半导体材料碳化硅衬底片的产业化布局，已成功生长出6英寸碳化硅晶体,每日经济新闻
0,2021-12-31,晶盛机电：公司的晶体生长设备产品包括单晶生长炉、区熔硅单晶炉、多晶铸锭炉等,每日经济新闻
1,2021-12-31,晶盛机电：公司设备价格稳定，相关产品毛利率稳定，订单正常交付,每日经济新闻
2,2021-12-31,晶盛机电：公司组建了碳化硅中试产线，以实现研发到量产过程中的稳定转化,每日经济新闻
3,2021-12-31,晶盛机电：公司非公开发行股票项目进展顺利，公司会积极与投资者保持交流沟通,每日经济新闻
4,2021-12-31,晶盛机电：截至2021年9月30日，公司未完成晶体生长设备及智能化加工设备合同总计177.60亿元,每日经济新闻
5,2021-12-31,晶盛机电：公司的主要客户包括中环股份、有研新材、合晶科技等业内知名的上市公司或大型企业,每日经济新闻
6,2021-12-30,年终盘点：2021年半导体行业中资海外并购十大交易,搜狐
7,2021-12-29,晶盛机电：半导体及硅片设备龙头，最新在手订单是上年营收4.6倍,第一财经
8,2021-12-27,传闻吓趴光伏板块：正泰电器差点跌出“千亿市值俱乐部”,21经济网
9,2021-12-27,晶盛机电：绍兴市临时停产的厂区已全部复工复产,LED在线
10,2021-12-27,大公司创新情报（12月27日）：晶盛机电：公司受疫情影响临时停产厂区复工复产,亿欧网
11,2021-12-26,晚间重要公告2021年12月26日星期日,Wind
12,2021-12-26,晶盛机电：公司及子公司有序复工复产,上证报
13,2021-12-26,晶盛机电：受疫情影响临时停产厂区复工复产,Wind
14,2021-12-26,机械设备：第一批风光大基地项目出炉；光伏风电锂电设备风险逐步释放,新浪
15,2021-12-19,机械行业周报：看好低碳+、全球化；精选“专精特新”；工程机械预期边际改善,新浪
16,2021-12-18,晶盛机电︱净利翻番，光伏设备龙头也有强敌？,星空财富
17,2021-12-18,下周63股面临解禁 3股解禁市值超百亿元（附股） 解禁,钢企网
18,2021-12-18,61岁离开浙大创业，如今公司市值近千亿，绍兴女强人财富暴增,腾讯网
19,2021-12-18,下周781亿市值限售股解禁，三家公司解禁超百亿 解禁,Wind
20,2021-12-17,资本开支加大，油服迎周期性盈利改善,Wind
21,2021-12-16,晶盛机电(300316.SZ)：139.132万股限制性股票12月22日上市流通,格隆汇
22,2021-12-16,晶盛机电：48万股限售股12月22日解禁，占比0.0373% 解禁,每日经济新闻
23,2021-12-16,资本潮涌兴钱塘 A股浙江板块迈入“600+”时代,上证报
24,2021-12-15,【中原电气设备】光伏行业周报：新增可再生能源和原料用能不纳入能源消费总量控制，关注产业链价格松动对需求影响,中原证券研究所
25,2021-12-14,10亿牵手应用材料 晶盛机电颇具野心,英才杂志
26,2021-12-14,南财研选丨碳化硅与新能源景气度共振，主题板块进入上行通道，国产有望打破海外巨头垄断地位,21世纪经济报道
27,2021-12-14,深度*行业*机械设备行业周报：中央经济工作会议强调双碳工作科学考核 风电、光伏相关设备景气度上升,新浪
28,2021-12-14,疫情空袭，至少17家A股公司宣告停产！这一地出租车、网约车停运,Wind
29,2021-12-14,Wind风控日报2021年12月14日星期二,Wind
30,2021-12-13,20余家上市公司浙江工厂因疫情临时停产 股价暂未受波及，均称业绩影响有限 经营问题,每日经济新闻
31,2021-12-13,出租车、网约车全部停运，染料重镇厂商宣布停产，半导体设备龙头受波及！主力资金涌入这些元宇宙概念股 经营问题,证券时报网
32,2021-12-13,晶盛机电绍兴上虞厂区停产：停产业务占1-9月营收约70% 经营问题,澎湃新闻
33,2021-12-13,晶盛机电：停产影响不大 部分产能移交其他省市分公司生产丨公司问答 经营问题,第一财经
34,2021-12-13,晶盛机电部分厂区临时停产 停产业务收入占总营收七成 经营问题,索比光伏网
35,2021-12-13,绍兴确诊107例，宁波确诊44例！浙江新冠疫情管控升级 十余家A股公司因疫情临时停产 经营问题,FX168
36,2021-12-13,疫情防控需求下，两家LED相关企业宣布临时停产 经营问题,LED在线
37,2021-12-13,浙江多家上市公司，因防疫需要临时停产 经营问题,Wind
38,2021-12-13,浙江新冠肺炎疫情管控升级 多家上市公司公告停产 经营问题,全景网
39,2021-12-13,突发！多家A股公司宣布：临时停产！ 经营问题,Wind
40,2021-12-12,10余家上市公司上虞工厂因疫情临时停产 千亿市值半导体设备巨头在列 经营问题,每日经济新闻
41,2021-12-12,十余家A股公司因疫情临时停产 影响几何？ 经营问题,中新经纬
42,2021-12-12,晚间重要公告2021年12月12日星期日,Wind
43,2021-12-12,晶盛机电(300316.SZ)及下属公司位于上虞厂区临时停产 经营问题,智通财经
44,2021-12-12,晶盛机电：受疫情影响上虞厂区临时停产 经营问题,e公司
45,2021-12-12,晶盛机电：受疫情影响部分厂区临时停产 经营问题,Wind
46,2021-12-10,浙商机械 邱世梁|王华君【奥特维】深度：组件串焊设备龙头；光伏、半导体、锂电设备多点开花,高端装备制造及材料
47,2021-12-10,光伏板块午后发力，金辰股份涨停,Wind
48,2021-12-10,已有30名感染者，此地紧急通知工业企业停产，多家上市公司回应！ 经营问题,每日经济新闻
49,2021-12-10,晶盛机电：上虞厂区生产暂时未受疫情影响,财联社
50,2021-12-09,隆基股份、通威股份、阳光电源，谁是成长能力最强的光伏设备企业？,Ofweek
51,2021-12-07,晶盛机电：关于董事辞职的公告 董监高成员变化,新浪
52,2021-12-07,机械行业月度动态报告：PMI重回荣枯线以上 北交所开市关注中小创投资机会,新浪
53,2021-12-07,晶盛机电：董事朱丽雯辞职 董监高成员变化,Wind
54,2021-12-06,30股获买入评级 最新:晨光文具,中财网
55,2021-12-06,机械行业：11月制造业PMI重回荣枯线上 关注制造升级投资机会,新浪
56,2021-12-06,东吴证券维持晶盛机电买入评级：碳化硅&蓝宝石拓展顺利，加速布局设备+材料平台型公司,每日经济新闻
57,2021-12-06,机械行业2022年投资策略：继续聚焦大新能源领域 布局高景气赛道,西南证券
58,2021-12-06,机械设备行业：服务机器人 高速新赛道,新浪
59,2021-12-06,两大项目迎来新进展，晶盛机电完善高端半导体材料业务,LED在线
60,2021-12-06,电力设备行业第49周周报：第二批新能源大基地开始申报 光伏绿氢首个万吨级项目启动建设,新浪
61,2021-12-06,浙商证券：给予晶盛机电买入评级,证券之星
62,2021-12-06,光伏股集体大涨，福莱特、中来股份、晶盛机电、洛阳玻璃涨幅靠前,Wind
63,2021-12-06,浙商证券维持晶盛机电买入评级，晶盛机电点评：全球最大蓝宝石基地投产；碳化硅项目成功签约银川,每日经济新闻
64,2021-12-05,电气设备行业周报：硅片加速尺寸变革推动降本 11月国内外电车销量持续向上,新浪
65,2021-12-05,机械设备行业跟踪周报：看好国产光伏锂电设备出海机会 建议关注双控边际影响削弱后通用自动化估值修复,新浪
66,2021-12-03,晶盛机电：宁夏鑫晶盛首批蓝宝石产品下线,e公司
67,2021-12-03,晶盛机电(300316.SZ)：48万股限制性股票可解除限售,智通财经
68,2021-12-03,晶盛机电(300316.SZ)：91.13万股限制性股票归属条件成就,智通财经
69,2021-12-02,北向资金：光伏龙头是最爱，近期大幅加仓光伏设备企业,索比光伏网
70,2021-12-01,机械设备行业周报：光伏产业链处于景气周期 持续看好光伏设备板块,新浪
71,2021-11-29,深度*行业*机械设备行业周报：持续推荐高景气的半导体、海上风电、光伏HJT赛道,新浪
72,2021-11-29,机械设备行业研究周报：国内半导体设备行业将迎来高速发展,新浪
73,2021-11-29,机械行业周报：动力电池产能建设加速 锂电设备充分受益,新浪
74,2021-11-29,晶盛机电海外收购被否决！ 并购重组异常,每日经济新闻
75,2021-11-25,卡位碳化硅衬底材料赛道 上市公司“乘风”再融资,上证报
76,2021-11-24,资产收购遭遇“黑天鹅”，如何打破困局？,Wind
77,2021-11-24,2022年机械年度策略：精选个股 成长为王,新浪
78,2021-11-24,晶盛机电：收购应用材料旗下的丝网印刷设备业务未能通过审批,北极星电力
79,2021-11-23,晶盛机电：收购事项未能通过意大利外商投资审批,e公司
80,2021-11-23,晶盛机电：收购应用材料公司资产事项未能通过意大利外商投资审批,Wind
81,2021-11-23,晶盛机电(300316.SZ)：与应用材料的相关交易未能通过意大利外商投资审批,格隆汇
82,2021-11-23,A股收盘综述：沪指三连阳冲击3600点未果,Wind
83,2021-11-23,【异动股】蓝宝石板块下挫，晶盛机电(300316.CN)跌6.46%,财华社
84,2021-11-23,光伏指数午后持续下探,Wind
85,2021-11-23,【行情】光伏板块跳水，晶澳科技跳水跌近10%，中能电气、安科瑞、禾望电气、晶盛机电等跌超5%,金十数据
86,2021-11-23,光伏板块午后跳水，晶澳科技闪崩逼近跌停,Wind
87,2021-11-23,深度*行业*半导体行业周报：思瑞浦发布数字隔离产品 FPGA安路科技上市,新浪
88,2021-11-23,深度*行业*机械设备行业周报：“十四五”风电装机预期显著上提 风电零部件及主机龙头持续受益,新浪
89,2021-11-22,中国银河维持机械行业推荐评级：10月机器人产量增速10.6%，北交所开市关注中小创企业投资机遇,每日经济新闻
90,2021-11-22,机械周报：风电碳纤维叶片的经济性及设备国产化趋势,新浪
91,2021-11-22,机械设备行业研究周报：锂电迎来密集扩产期 持续看好新能源装备长期发展,新浪
92,2021-11-22,机械行业周报：低碳+全球化助力 锂电/光伏/风电设备将超预期,新浪
93,2021-11-22,中信建投机械设备2022年投资策略报告：短期寻求α，中长期顺应双碳背景,Wind
94,2021-11-21,超级赛道“黑马”拿下近600亿订单，千亿巨头挑战来了？,Wind
95,2021-11-20,光伏设备行业点评：硅片薄片化&HJT组件功率创新高 异质结降本增效进行时,新浪
96,2021-11-19,晶盛机电：公司所生产的晶体生长炉和智能化加工设备可用于P型、N型硅片的生产,每日经济新闻
97,2021-11-19,晶盛机电：公司的晶体生长设备能够使用颗粒硅作为长晶原料,每日经济新闻
98,2021-11-19,晶盛机电：公司目前没有生产硅废料提纯设备,每日经济新闻
99,2021-11-19,晶盛机电：公司碳化硅外延设备已通过客户验证，同时在6英寸碳化硅晶体生长、切片、抛光环节已规划建立测试线,每日经济新闻
100,2021-11-19,晶盛机电：公司在光伏领域的单晶炉主要销售给硅片厂商,每日经济新闻
101,2021-11-19,晶盛机电：目前公司的主营业务未直接应用到储能领域,每日经济新闻
102,2021-11-19,北向资金今日大幅净买入近83亿，再度爆买宁德时代超14亿,Wind
103,2021-11-19,北向资金动向盘点：反手减持食品饮料、医药,Wind
104,2021-11-19,浙商机械 邱世梁||王华君【上机数控】签262亿硅料长单；拟拓宽经营范围至电子专用材料、半导体设备,高端装备制造及新材料
105,2021-11-19,北向资金抛售医药白酒，买入元宇宙、锂电概念（附股）,21世纪经济报道
106,2021-11-18,顶流基金经理调研“新欢”大起底！热门板块人声鼎沸,Wind
107,2021-11-18,半导体指数全线下挫,Wind
108,2021-11-16,晶盛机电与双良节能签订22.425亿元单晶炉买卖合同,北极星电力
109,2021-11-16,赌上2.5倍净资产全面延伸产业链，双良节能会是下一个十倍牛股吗？,华夏能源网
110,2021-11-15,中国银河维持机械行业推荐评级：10月挖机销量降幅再扩大，关注4680电池量产对设备的影响,每日经济新闻
111,2021-11-15,电新行业周报：碳减排支持工具助力新能源发展 三元和铁锂占比短期趋于平衡,新浪
112,2021-11-15,电子元器件行业周报：晶圆代工三季度高景气 持续推荐半导体设备材料,新浪
113,2021-11-14,晶盛机电(300316)公司信息更新报告：业绩靓丽订单充裕 定增加码半导体材料设备优势,新浪
114,2021-11-12,高毅三员大将罕见“同框调研”，什么行业这么“吃香”？,Wind
115,2021-11-11,中银证券：给予安路科技评级,证券之星
116,2021-11-11,股价创历史新高股一览,证券时报网
117,2021-11-10,浙商机械 邱世梁||王华君 【金辰股份】助TOPCon电池达25.53%效率创中国纪录；期待异质结设备突破,高端装备制造及新材料
118,2021-11-10,27股今日获机构买入评级 6股上涨空间超20%,证券时报网
119,2021-11-10,22只股股价创历史新高,证券时报网
120,2021-11-10,浙商机械 邱世梁||王华君 【金辰股份】签英利组件设备订单；异质结和TOPCon设备将贡献未来几年业绩主增量,高端装备制造及材料
121,2021-11-09,2021三季度机械业绩总结报告：整体持续高增 专用设备表现亮眼,新浪
122,2021-11-09,浙商证券给予晶盛机电买入评级：再获光伏设备订单，在手近 200 亿元；半导体设备+材料打开空间,每日经济新闻
123,2021-11-09,加购晶盛机电单晶炉，硅片新玩家即将起航,Ofweek
124,2021-11-09,机械行业周报：关注机械设备上市公司三季报总结 四季度继续看好新能源装备类投资机会,新浪
125,2021-11-09,东吴证券：维持晶盛机电(300316.SZ)“买入”评级 双良大订单落地 订单同比增速超200%,智通财经
126,2021-11-09,东吴证券：给予晶盛机电买入评级,证券之星
127,2021-11-09,东吴证券维持晶盛机电买入评级：全年新接订单预计超200亿元，订单同比增速超200%,每日经济新闻
128,2021-11-09,晶盛机电：签订多份重大合同，合同金额超50亿,LED在线
129,2021-11-09,在手订单近200亿元！晶盛机电与双良节能再签单晶炉买卖合同,索比光伏网
130,2021-11-09,中信证券发布2022年海外中资股展望：价值崛起,Wind
131,2021-11-09,上市公司正负面新闻2021年11月9日星期二,Wind
132,2021-11-09,浙商机械 邱世梁||王华君 【晶盛机电】再获光伏设备订单，在手近200亿元；半导体设备+材料打开空间,高端装备制造及材料
133,2021-11-08,公告精选丨祖名股份上调部分产品出厂价；上海环境获三峡资本及长江环保集团二次举牌,21世纪经济报道
134,2021-11-08,双良节能(600481.SH)：向晶盛机电采购单晶炉设备总金额变更为22.425亿元,格隆汇
135,2021-11-08,晚间重要公告2021年11月8日星期一,Wind
136,2021-11-08,【晚间公告抢先看】祖名股份上调部分植物蛋白饮品出厂价、ST中天股票累计涨幅较大 停牌核查,金融界
137,2021-11-08,晶盛机电最新公告：与双良硅材料再签16.146亿元单晶炉买卖合同,中金在线
138,2021-11-08,晶盛机电(300316.SZ)累计与双良硅材料签订22.43亿元单晶炉合同,智通财经
139,2021-11-08,晶盛机电：与双良硅材料再次签订单晶炉买卖合同,Wind
140,2021-11-08,双良节能：向晶盛机电采购单晶炉设备总金额变更为22.43亿元,财联社
141,2021-11-08,双良节能：双良节能：向晶盛机电采购单晶炉设备总金额变更为22.43亿元,Wind
142,2021-11-08,财信证券基金深度报告：影响基金组合收益率的几点思考及重点品种2021年3季报调换仓情况,财信证券研究
143,2021-11-06,晶盛机电(300316)　规模效应凸显,财富动力网
144,2021-11-06,浙商机械 邱世梁||王华君 【金辰股份】股权激励彰显信心；期待光伏异质结、TOPCon设备获突破,高端装备制造及材料
145,2021-11-05,21只股股价创历史新高,证券时报网
146,2021-11-04,国产碳化硅替代机遇显现 第三代半导体群雄逐鹿资本入局,投资者网
147,2021-11-04,西部证券：维持晶盛机电(300316.SH)“买入”评级 新接订单饱满 业绩高增长性强,智通财经
148,2021-11-04,晶盛机电业绩高增难挡300只基金退出 拟定增新赛道能否打造第二曲线,投资者网
149,2021-11-03,万联证券维持晶盛机电买入评级，近期获23份券商研报关注，目标均价涨幅16.83%,每日经济新闻
150,2021-11-03,国内芯片公司利润大增，半导体设备企业的新动态,Ofweek
151,2021-11-02,华金证券维持晶盛机电买入-A评级：业绩持续高增长，盈利能力不断上行,每日经济新闻
152,2021-11-02,民生证券：维持晶盛机电(300316.SZ)“推荐”评级 业绩快速增长 盈利能力持续提升,智通财经
153,2021-11-02,民生证券维持晶盛机电推荐评级，晶盛机电21年三季报点评：Q3 业绩快速增长，盈利能力持续提升,每日经济新闻
154,2021-11-01,晶盛机电接受114家机构调研！短期主力资金净流出，或存在资金分歧,每日经济新闻
155,2021-11-01,【调研纪要】晶盛机电：目前未完成的晶体生长设备及智能化加工设备合同总计178亿（20211101）,微信
156,2021-11-01,晶盛机电(300316)：盈利能力亮眼 在手订单创新高,新浪
157,2021-11-01,图解晶盛机电三季报：第三季度单季净利润同比增106.10%,证券之星
158,2021-11-01,平安证券维持晶盛机电推荐评级：业绩持续高增，拟募资加大半导体布局,每日经济新闻
159,2021-10-31,开源证券维持晶盛机电买入评级：业绩靓丽订单充裕，定增加码半导体材料设备优势,每日经济新闻
160,2021-10-31,东吴证券维持晶盛机电买入评级：Q3 业绩高增长，长晶龙头进入收获期,每日经济新闻
161,2021-10-31,东吴证券：给予晶盛机电买入评级,证券之星
162,2021-10-31,德邦证券维持晶盛机电增持评级：2021年前三季业绩同比高增，在手订单达178亿,每日经济新闻
163,2021-10-30,德邦证券首予晶盛机电增持评级：泛半导体长晶设备龙头，碳化硅材料打开成长新曲线,每日经济新闻
164,2021-10-30,德邦证券：给予晶盛机电增持评级,证券之星
165,2021-10-29,晶盛机电公布三季报 前三季净利增加111.97%,新浪
166,2021-10-29,晶盛机电前三季度净利润同比增长111.97%,上证报
167,2021-10-29,晶盛机电(300316.SZ)第三季度净利润5.10亿元 同比增长106.10%,格隆汇
168,2021-10-29,晶盛机电：第三季度净利润5.1亿元 同比增长106.1%,财联社
169,2021-10-29,晶盛机电：前三季度净利润同比增长111.97%,Wind
170,2021-10-29,浙商机械 邱世梁||王华君【迈为股份】三季报业绩提速；异质结设备订单超18亿、期待再突破,高端装备制造及材料
171,2021-10-28,648股获买入评级 最新:北新建材,中财网
172,2021-10-28,晶盛机电拟募资不超57亿，发力碳化硅等扩产项目！,中自网
173,2021-10-28,英杰电气：公司与青海高景太阳能单独签订有电源供货合同,Wind
174,2021-10-28,晶盛机电(300316)：27.6亿元大订单落地 光伏设备业务进入收获期,新浪
175,2021-10-27,晶盛机电公布大单！助力光伏新玩家抢占先机,Ofweek
176,2021-10-27,晶盛机电与高景太阳能累计签订27.61亿元设备销售合同,集邦新能源网
177,2021-10-27,开源证券给予晶盛机电买入评级：拟定增募资 57 亿元，强化半导体设备材料优势,每日经济新闻
178,2021-10-27,晶盛机电拟定增57亿扩产半导体材料 晶体设备需求飙升业绩预计翻倍增长,长江商报
179,2021-10-26,晶盛机电(300316.SZ)累计与高景太阳能签订27.61亿元单晶炉及配套产品相关合同,智通财经
180,2021-10-26,晶盛机电：签订日常经营重大合同,每日经济新闻
181,2021-10-26,晶盛机电：签订合计27.61亿元设备销售合同,e公司
182,2021-10-26,国元证券给予晶盛机电买入评级，晶盛机电事件点评报告，近期获10份券商研报关注，目标均价涨幅20.59%,每日经济新闻
183,2021-10-26,安信证券：给予晶盛机电买入评级，目标价位89.5元,证券之星
184,2021-10-26,晶盛机电：公司产品主要应用于集成电路、太阳能光伏、LED、工业4.0等,每日经济新闻
185,2021-10-26,晶盛机电：公司产品在晶体生长、切片、抛光、外延等晶片材料环节已基本实现8英寸设备的全覆盖和国产化替代，12英寸长晶设备及部分加工设备也已实现批量销售,每日经济新闻
186,2021-10-26,晶盛机电：公司生产的晶体生长和加工设备的理论寿命为8-10年,Wind
187,2021-10-26,东吴证券维持晶盛机电买入评级：57亿元定增投向半导体产业链，从设备到材料&从光伏到半导体迈入新征程,每日经济新闻
188,2021-10-26,机械行业周报(2021年10月第3周)：隆基HJT电池效率再破世界纪录；持续力推光伏／风电／锂电设备,新浪
189,2021-10-26,浙商证券维持晶盛机电买入评级，晶盛机电点评：拟57亿定增加码碳化硅、半导体设备，打开成长天花板,每日经济新闻
190,2021-10-26,浙商证券：给予晶盛机电买入评级,证券之星
191,2021-10-26,浙商机械 邱世梁||王华君【上机数控】获爱旭50亿大单，合计签单近400亿元；战略布局“硅片+颗粒硅”,高端装备制造及材料
192,2021-10-25,10月26日上市公司重要公告集锦：中兴通讯前三季度净利同比增115.81%,证券日报之声
193,2021-10-25,【晚间公告抢先看】双良节能子公司签订144.27亿元硅片采购合同、紫光国微第三季度净利润同比增105.87%,金融界
194,2021-10-25,晶盛机电(300316.SZ)拟定增不超过 2.57亿股募集不超过57亿元,智通财经
195,2021-10-25,晶盛机电：拟向特定对象增发募资不超过57亿元,每日经济新闻
196,2021-10-25,晶盛机电最新公告：拟定增募资不超57亿元,证券之星
197,2021-10-25,晶盛机电：拟定增募资不超57亿元,财联社
198,2021-10-25,晶盛机电：拟定增募资不超57亿元，投资碳化硅衬底晶片生产等项目,Wind
199,2021-10-24,机械设备行业跟踪周报：持续看好高景气度的光伏半导体设备 建议关注双控影响下景气延续的机床刀具行业,新浪
200,2021-10-22,寻找预期差！半导体持续高景气，35家公司净利增100%,Wind
201,2021-10-21,机械：“能耗双控”背景下 持续推荐能源设备,新浪
202,2021-10-20,深度*行业*机械设备行业周报：风光大基地一期约100GW有序开工 建议相关光伏、风电、锂电设备板块,新浪
203,2021-10-20,每日报告回放,新浪
