,2021-12-30,今年以来612家公司违规受罚 近两成个股已被风险警示,大众证券报
0,2021-12-30,公牛集团归还2.68亿元用于暂补流动资金的募集资金,乐居财经
1,2021-12-27,公牛集团注册资本拟减少至6.01亿元 减资破产,乐居财经
2,2021-12-27,公牛集团：公司及全资子公司计划向银行申请不超过25亿元授信,乐居财经
3,2021-12-27,公牛集团(603195.SH)：拟使用不超12亿元闲置募集资金暂补流动资金,格隆汇
4,2021-12-27,公牛集团(603195.SH)：拟向银行申请总额不超25亿元综合授信额度,格隆汇
5,2021-12-27,公牛集团(603195.SH)拟开展大宗原材料期货业务,智通财经
6,2021-12-22,2021家居上市公司喜与忧,财经网
7,2021-12-22,公牛集团使用1亿元闲置募集资金进行委托理财,乐居财经
8,2021-12-21,步入成熟期的家电龙头，还值得关注吗？,投资界
9,2021-12-20,公牛集团：在渠道端公司已建立了覆盖全国城乡、110多万家终端网点的线下销售网络,每日经济新闻
10,2021-12-20,公牛集团：目前公司及子公司生产经营情况正常,每日经济新闻
11,2021-12-20,公牛集团：公司充电桩产品目前未与下游运营商合作供货,Wind
12,2021-12-16,2021家居上市公司喜与忧,北京商报
13,2021-12-11,公牛集团：党建也是生产力,中国证券网
14,2021-12-10,快讯丨公牛集团提前归还4200万元暂补流动资金的募集资金 尚未归还数额8.9亿元,财经网
15,2021-12-10,公牛集团：提前归还 4200 万元至募集资金账户,乐居财经
16,2021-12-09,“十四五”农村规划吹风会两大要点：消费更新+粮食安全，五大板块异动！,Wind
17,2021-12-08,公牛集团：公司线下渠道以经销为主，目前终端网点没有直营店,每日经济新闻
18,2021-12-08,公牛集团：公司已建立覆盖全国城乡、110多万家终端网点的线下销售网络,Wind
19,2021-12-07,2022年轻工策略：变革下的重塑与突围 轻工龙头乘风破浪,新浪
20,2021-12-07,轻工制造行业周报：新型烟草政策密集发布 家居迎估值修复,新浪
21,2021-12-06,家用电器行业周报：集成灶市场增势强劲 国产品牌占优,新浪
22,2021-12-06,公牛集团：公司装饰渠道的终端门店主要指专业建材及灯饰渠道网点,每日经济新闻
23,2021-12-03,宝之特实业状告公牛集团，因买卖合同纠纷 诉讼纠纷,乐居财经
24,2021-12-03,家用电器行业周报：聚焦厨电新势力 洗碗机赛道寻良机,新浪
25,2021-11-30,公牛集团归还5000万元暂补流动资金的闲置募集资金,乐居财经
26,2021-11-29,轻工制造行业周报：电子烟监管迎实质性进展 看好行业长期发展,新浪
27,2021-11-25,3亿罚款驯服“公牛”,Ofweek
28,2021-11-23,风险教育！监管重拳出击，一大批公司被立案调查,Wind
29,2021-11-23,家用电器行业周报：10月家电零售数据向好 家空市场景气度上扬,新浪
30,2021-11-22,IDCC2021参会企业：公牛集团专注数据中心末端电源分配技术研发,中国IDC圈
