,2021-12-29,晚间重要公告2021年12月29日星期三,Wind
0,2021-12-29,华能水电：签署澜沧江上游水电站送电广东购售电合同,e公司
1,2021-12-28,谁是成长能力最强的电力企业？,Ofweek
2,2021-12-28,长江电力、华能水电、国投电力，谁是盈利能力最强的水电企业？,Ofweek
3,2021-12-28,北向资金假期后首日加仓近13亿，兴业银行、宁德时代净买入均超5亿元,Wind
4,2021-12-28,华能水电：已投产光伏装机容量10万千瓦,索比光伏网
5,2021-12-28,华能水电(600025.SH)签订2021-2023年澜沧江上游水电站送电广东购售电合同,格隆汇
6,2021-12-28,华能水电：公司仅瑞丽江一级水电站、柬埔寨桑河二级水电站为特许经营权项目,每日经济新闻
7,2021-12-28,华能水电：公司瑞丽江一级水电站和柬埔寨桑河二级水电站为特许经营权项目,Wind
8,2021-12-28,华能水电：公司目前暂无氢能源业务,Wind
9,2021-12-28,华能水电：公司近期暂无抽水蓄能业务,Wind
10,2021-12-28,华能水电：目前公司已投产风电和光伏装机容量合计23.5万千瓦,财联社
11,2021-12-27,华能水电(600025.SH)提名李健平为董事候选人,智通财经
12,2021-12-26,公用事业周观点：辅助服务费用向用户侧传导，调动积极性【国君公用翟堃】,煤市乾坤
13,2021-12-26,华能水电：进军光伏拓宽成长空间,每日经济新闻
14,2021-12-22,长江电力、华能水电、国投电力，谁是成长能力最强的水电企业？,Ofweek
15,2021-12-22,华能水电(600025.SH)完成发行5亿元超短期融资券,智通财经
16,2021-12-21,【建投公用环保】11月火电发电量同比减少2.5%，电煤剪刀差发生反转,能源交运万维网
17,2021-12-19,周观点：11月火电发电下滑，风光增速加快【国君公用翟堃】,煤市乾坤
18,2021-12-15,华能水电：公司已投产风电和光伏装机容量合计23.5万千瓦,每日经济新闻
19,2021-12-15,华能水电(600025.SH)：完成发行5亿元绿色超短期融资券,格隆汇
20,2021-12-15,华能水电(600025.SH)完成发行5亿元2021年度第五期绿色超短期融资券,智通财经
21,2021-12-13,能耗“双控”转向碳“双控”意味什么,郭丽丽的研究札记
22,2021-12-13,北向资金连续9日净买入累计加仓近700亿，爆买东方财富超17亿,Wind
23,2021-12-10,云南城投昆明上坝片区项目合作方欲解除协议 上诉返还5.19亿 项目问题,观点地产网
24,2021-12-08,公用事业行业简评报告：多地发布电力中长期交易规则征求意见稿,新浪
25,2021-12-08,融资客青睐2股，江苏舜天买入占比高达49.50%,Wind
26,2021-12-07,华能水电：目前公司已投产风电光伏装机容量合计23.5万千瓦,每日经济新闻
27,2021-12-07,水电股尾盘再度冲高，乐山电力、西昌电力、华能水电涨幅扩大,Wind
28,2021-12-07,华能水电：已投产风电光伏装机容量合计23.5万千瓦,财联社
29,2021-12-06,首席周观点：周期股会来第二春吗？,新浪
30,2021-12-06,电力：山东印发高耗能企业碳管理办法 火电长协煤政策靴子落地,新浪
31,2021-12-06,公用环保行业周报：2022年电煤长协征求意见稿发布有利于保障煤电资产现金流,新浪
32,2021-12-06,公用环保行业重大事项点评：火电重新恢复盈利能力 电价步入上行周期,新浪
33,2021-12-06,绿色电力政策密集出台，行业发展步入快车道,Wind
34,2021-12-05,公用事业周观点：煤价中枢提高，绿电优势凸显【国君公用事业】,煤市乾坤
